"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"affiliate","The company plans to affiliate with a European distribution partner.","제휴하다","회사는 유럽 유통 파트너와 제휴할 계획입니다.","提携する","会社はヨーロッパの流通パートナーと提携する予定です。","附属","公司计划与一家欧洲分销合作伙伴建立附属关系。"
"affirmative","The committee gave an affirmative response to the budget proposal.","긍정적인","위원회는 예산안에 대해 긍정적인 응답을 했습니다.","肯定的な","委員会は予算案に対して肯定的な回答をしました。","肯定的","委员会对预算提案给出了肯定的答复。"
"aggregate","The aggregate sales figures exceeded our quarterly projections this year.","합계의","합계 매출 수치가 올해 분기 예상치를 크게 초과했습니다.","合計の","合計売上高は今年の四半期の予測を大幅に上回りました。","总计的","总销售额大大超过了今年的季度预测。"
"agile","An agile approach allows the team to respond quickly to changes.","민첩한","애자일 접근 방식은 팀이 변화에 빠르게 대응할 수 있게 합니다.","機敏な","アジャイルなアプローチにより、チームは変化に迅速に対応できます。","敏捷的","敏捷的方法使团队能够快速应对变化。"
"allegation","The allegation of financial fraud led to a thorough investigation.","주장","재정 사기 주장이 철저한 조사로 이어졌습니다.","申し立て","金融詐欺の申し立てにより、徹底的な調査が行われました。","指控","财务欺诈的指控导致了彻底的调查。"
"alleviate","The new policy aims to alleviate the burden on small businesses.","완화하다","새 정책은 중소기업의 부담을 완화하는 것을 목표로 합니다.","軽減する","新しい方針は中小企業の負担を軽減することを目指しています。","缓解","新政策旨在缓解小企业的负担。"
"allocation","The budget allocation for marketing increased by fifteen percent this year.","배분","올해 마케팅 예산 배분이 15% 증가했습니다.","配分","マーケティングへの予算配分が今年15パーセント増加しました。","分配","今年市场营销的预算分配增加了百分之十五。"
"allowance","Employees receive a monthly travel allowance of five hundred dollars.","수당","직원들은 월 500달러의 출장 수당을 받습니다.","手当","従業員は毎月500ドルの旅行手当を受け取ります。","津贴","员工每月获得五百美元的差旅津贴。"
"ambiguity","The ambiguity in the contract led to a dispute between parties.","모호함","계약서의 모호함이 당사자 간 분쟁으로 이어졌습니다.","曖昧さ","契約書の曖昧さが当事者間の紛争につながりました。","模糊性","合同中的模糊性导致了双方之间的纠纷。"
"amend","The legal team will amend the contract to include new terms.","수정하다","법무팀이 새로운 조건을 포함하도록 계약서를 수정할 것입니다.","修正する","法務チームが新しい条件を含めるよう契約を修正します。","修改","法务团队将修改合同以纳入新条款。"
"amicable","Both parties reached an amicable settlement outside of the courtroom.","우호적인","양 당사자는 법정 밖에서 우호적인 합의에 도달했습니다.","友好的な","両当事者は法廷外で友好的な和解に達しました。","友好的","双方在庭外达成了友好的和解。"
"ample","There is ample time to complete the project before the deadline.","충분한","마감 전에 프로젝트를 완료할 충분한 시간이 있습니다.","十分な","締め切り前にプロジェクトを完了する十分な時間があります。","充足的","在截止日期前完成项目有充足的时间。"
"annex","The company built a new annex to accommodate the growing staff.","별관","회사는 증가하는 직원을 수용하기 위해 새 별관을 지었습니다.","別館","会社は増加するスタッフを収容するために新しい別館を建設しました。","附件","公司建了一座新的附属建筑以容纳不断增加的员工。"
"anomaly","The auditor discovered an anomaly in the quarterly financial report.","이상","감사인이 분기 재무 보고서에서 이상을 발견했습니다.","異常","監査人が四半期財務報告書に異常を発見しました。","异常","审计师在季度财务报告中发现了一处异常。"
"apparatus","The testing apparatus must be calibrated before each quality inspection.","장치","검사 장치는 각 품질 검사 전에 교정되어야 합니다.","装置","テスト装置は品質検査の前に校正する必要があります。","装置","测试装置必须在每次质量检查前进行校准。"
"appease","Management offered bonuses to appease workers upset about the restructuring.","달래다","경영진은 구조조정에 불만인 직원들을 달래기 위해 보너스를 제안했습니다.","なだめる","経営陣はリストラに不満を持つ従業員をなだめるためにボーナスを提案しました。","安抚","管理层提供奖金来安抚对重组不满的员工。"
"appendix","Please refer to the appendix for detailed financial data and charts.","부록","상세한 재무 데이터와 차트는 부록을 참조하세요.","付録","詳細な財務データとチャートについては付録を参照してください。","附录","请参阅附录以获取详细的财务数据和图表。"
"appraise","An independent expert was hired to appraise the property's current value.","감정하다","부동산의 현재 가치를 감정하기 위해 독립 전문가를 고용했습니다.","鑑定する","不動産の現在の価値を鑑定するために独立した専門家が雇われました。","评估","聘请了一位独立专家来评估该房产的当前价值。"
"apprehend","Security was able to apprehend the suspect near the office building.","체포하다","보안팀이 사무실 건물 근처에서 용의자를 체포할 수 있었습니다.","逮捕する","警備がオフィスビル付近で容疑者を逮捕することができました。","逮捕","保安人员在办公楼附近逮捕了嫌疑人。"
"apprentice","The apprentice will shadow senior engineers for the first three months.","견습생","견습생은 처음 3개월 동안 선임 엔지니어를 따라다닐 것입니다.","見習い","見習いは最初の3か月間、先輩エンジニアに付いて学びます。","学徒","学徒将在前三个月跟随高级工程师学习。"
"arbitrate","A neutral third party was called to arbitrate the labor dispute.","중재하다","노동 분쟁을 중재하기 위해 중립적인 제3자가 호출되었습니다.","仲裁する","労働紛争を仲裁するために中立的な第三者が呼ばれました。","仲裁","一位中立的第三方被请来仲裁劳动纠纷。"
"array","The company offers an impressive array of products and services.","배열","회사는 인상적인 배열의 제품과 서비스를 제공합니다.","配列","その会社は印象的な品揃えの製品とサービスを提供しています。","排列","公司提供一系列令人印象深刻的产品和服务。"
"articulate","She was able to articulate the company's vision clearly to investors.","명확히 말하다","그녀는 투자자들에게 회사의 비전을 명확하게 표현할 수 있었습니다.","明確に述べる","彼女は投資家に会社のビジョンを明確に表現することができました。","清晰表达","她能够向投资者清晰地阐述公司的愿景。"
"ascertain","We need to ascertain the cause of the production delay immediately.","확인하다","생산 지연의 원인을 즉시 확인해야 합니다.","確認する","生産遅延の原因を直ちに確認する必要があります。","查明","我们需要立即查明生产延迟的原因。"
"aspire","Many young professionals aspire to reach executive-level positions eventually.","열망하다","많은 젊은 전문가들이 궁극적으로 임원급 직위에 도달하기를 열망합니다.","熱望する","多くの若い専門家が最終的に幹部レベルの地位に到達することを目指しています。","渴望","许多年轻的专业人士渴望最终达到高管级别的职位。"
"assertion","His assertion that costs would decrease proved to be accurate.","주장","비용이 감소할 것이라는 그의 주장이 정확한 것으로 밝혀졌습니다.","主張","コストが減少するという彼の主張は正確であることが証明されました。","断言","他关于成本会下降的断言被证明是准确的。"
"assimilate","New hires need time to assimilate into the company's work culture.","동화하다","신입사원은 회사의 업무 문화에 적응하는 시간이 필요합니다.","同化する","新入社員は会社の仕事文化に馴染むのに時間が必要です。","吸收","新员工需要时间来融入公司的工作文化。"
"attrition","High attrition rates indicate potential problems with employee satisfaction.","자연감소","높은 이직률은 직원 만족도에 잠재적 문제가 있음을 나타냅니다.","自然減少","高い離職率は従業員満足度に潜在的な問題があることを示しています。","自然减员","高流失率表明员工满意度可能存在问题。"
"authenticate","Users must authenticate their identity before accessing confidential files.","인증하다","사용자는 기밀 파일에 접근하기 전에 신원을 인증해야 합니다.","認証する","ユーザーは機密ファイルにアクセスする前に身元を認証する必要があります。","认证","用户在访问机密文件之前必须验证其身份。"
"avert","Quick action by management helped avert a potential financial crisis.","피하다","경영진의 신속한 조치가 잠재적 재정 위기를 피하는 데 도움이 되었습니다.","回避する","経営陣の迅速な行動が潜在的な財務危機を回避するのに役立ちました。","避免","管理层的快速行动帮助避免了一场潜在的财务危机。"
"backlog","A thorough review of the backlog revealed several areas for improvement.","밀린 업무","밀린 업무에 대한 철저한 검토에서 여러 개선 영역이 밝혀졌습니다.","未処理分","未処理分の徹底的なレビューにより、いくつかの改善点が明らかになりました。","积压","对积压的全面审查揭示了几个需要改进的领域。"
"bandwidth","Management addressed concerns regarding the bandwidth at the annual conference.","대역폭","경영진은 연례 회의에서 대역폭에 관한 우려를 다루었습니다.","帯域幅","経営陣は年次会議で帯域幅に関する懸念に対処しました。","带宽","管理层在年度会议上讨论了有关带宽的问题。"
"bankrupt","The report highlighted several bankrupt factors affecting the quarterly results.","파산한","보고서는 분기 실적에 영향을 미치는 여러 파산한 요소를 강조했습니다.","破産した","報告書は四半期の業績に影響を与えるいくつかの破産した要因を強調しました。","破产的","报告强调了影响季度业绩的几个破产的因素。"
"benchmark","Experts believe the benchmark will significantly impact the industry going forward.","기준점","전문가들은 기준점이/가 향후 산업에 상당한 영향을 미칠 것으로 보고 있습니다.","基準点","専門家は基準点が今後業界に大きな影響を与えると考えています。","基准","专家认为基准将对行业未来产生重大影响。"
"beneficiary","Management addressed concerns regarding the beneficiary at the annual conference.","수혜자","경영진은 연례 회의에서 수혜자에 관한 우려를 다루었습니다.","受益者","経営陣は年次会議で受益者に関する懸念に対処しました。","受益人","管理层在年度会议上讨论了有关受益人的问题。"
"bequest","A thorough review of the bequest revealed several areas for improvement.","유산","유산에 대한 철저한 검토에서 여러 개선 영역이 밝혀졌습니다.","遺贈","遺贈の徹底的なレビューにより、いくつかの改善点が明らかになりました。","遗赠","对遗赠的全面审查揭示了几个需要改进的领域。"
"bilateral","A detailed analysis of the bilateral was included in the quarterly report.","양자간의","양자간의에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","二国間の","二国間のの詳細な分析が四半期報告書に含まれていました。","双边的","季度报告中包含了对双边的的详细分析。"
"binding","The company decided to binding in response to the changing market conditions.","구속력 있는","회사는 변화하는 시장 상황에 대응하여 구속력 있는기로 결정했습니다.","拘束力のある","会社は変化する市場状況に対応して拘束力のあることを決定しました。","有约束力的","公司决定有约束力的以应对不断变化的市场状况。"
"blueprint","Management addressed concerns regarding the blueprint at the annual conference.","청사진","경영진은 연례 회의에서 청사진에 관한 우려를 다루었습니다.","設計図","経営陣は年次会議で設計図に関する懸念に対処しました。","蓝图","管理层在年度会议上讨论了有关蓝图的问题。"
"bolster","The CEO announced plans to bolster across all regional office locations.","강화하다","CEO는 모든 지역 사무소에 걸쳐 강화하다 계획을 발표했습니다.","支える","CEOはすべての地域オフィスにわたって支える計画を発表しました。","支撑","首席执行官宣布了在所有区域办事处支撑的计划。"
"bondholder","Understanding the bondholder is essential for making informed business decisions.","채권 보유자","정보에 입각한 비즈니스 결정을 위해 채권 보유자을/를 이해하는 것이 중요합니다.","債券保有者","情報に基づくビジネス判断のために債券保有者を理解することが重要です。","债券持有人","了解债券持有人对于做出明智的商业决策至关重要。"
"bottleneck","The bottleneck requires careful consideration before any final decisions are made.","병목","병목은/는 최종 결정을 내리기 전에 신중한 고려가 필요합니다.","ボトルネック","ボトルネックは最終決定を下す前に慎重な検討が必要です。","瓶颈","瓶颈在做出最终决定之前需要仔细考虑。"
"breach","The new breach will be implemented across all departments starting next month.","위반","새로운 위반이/가 다음 달부터 모든 부서에 시행될 것입니다.","違反","新しい違反は来月からすべての部門で実施されます。","违反","新的违反将从下月起在所有部门实施。"
"breakeven","The company's breakeven has been a topic of discussion at recent board meetings.","손익분기","회사의 손익분기이/가 최근 이사회에서 논의 주제가 되었습니다.","損益分岐","会社の損益分岐は最近の取締役会で議論のトピックとなっています。","盈亏平衡","公司的盈亏平衡已成为近期董事会会议的讨论话题。"
"bribery","A thorough review of the bribery revealed several areas for improvement.","뇌물 수수","뇌물 수수에 대한 철저한 검토에서 여러 개선 영역이 밝혀졌습니다.","贈収賄","贈収賄の徹底的なレビューにより、いくつかの改善点が明らかになりました。","贿赂","对贿赂的全面审查揭示了几个需要改进的领域。"
"broker","The company's broker has been a topic of discussion at recent board meetings.","중개인","회사의 중개인이/가 최근 이사회에서 논의 주제가 되었습니다.","仲介人","会社の仲介人は最近の取締役会で議論のトピックとなっています。","经纪人","公司的经纪人已成为近期董事会会议的讨论话题。"
"brownfield","The brownfield requires careful consideration before any final decisions are made.","브라운필드","브라운필드은/는 최종 결정을 내리기 전에 신중한 고려가 필요합니다.","ブラウンフィールド","ブラウンフィールドは最終決定を下す前に慎重な検討が必要です。","棕地","棕地在做出最终决定之前需要仔细考虑。"
"bureaucracy","Management addressed concerns regarding the bureaucracy at the annual conference.","관료주의","경영진은 연례 회의에서 관료주의에 관한 우려를 다루었습니다.","官僚主義","経営陣は年次会議で官僚主義に関する懸念に対処しました。","官僚主义","管理层在年度会议上讨论了有关官僚主义的问题。"
"buyout","The buyout was carefully reviewed by the senior management team.","매수","매수은/는 고위 경영진에 의해 신중히 검토되었습니다.","買収","買収は上級管理チームによって慎重に検討されました。","收购","收购经过高级管理团队的仔细审查。"
"bylaws","The bylaws was carefully reviewed by the senior management team.","내규","내규은/는 고위 경영진에 의해 신중히 검토되었습니다.","定款","定款は上級管理チームによって慎重に検討されました。","章程","章程经过高级管理团队的仔细审查。"
"calibrate","Management plans to calibrate the current operations to improve overall efficiency.","보정하다","경영진은 전반적인 효율성을 개선하기 위해 현재 운영을 보정하다 계획입니다.","較正する","経営陣は全体的な効率を改善するために現在の業務を較正する計画です。","校准","管理层计划校准以提高整体运营效率。"
"capitalize","The board voted to capitalize as part of the new corporate strategy.","자본화하다","이사회는 새로운 기업 전략의 일환으로 자본화하다기로 투표했습니다.","資本化する","取締役会は新しい企業戦略の一環として資本化することを決議しました。","资本化","董事会投票资本化作为新企业战略的一部分。"
"cartel","A detailed analysis of the cartel was included in the quarterly report.","카르텔","카르텔에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","カルテル","カルテルの詳細な分析が四半期報告書に含まれていました。","卡特尔","季度报告中包含了对卡特尔的详细分析。"
"cashflow","The cashflow requires careful consideration before any final decisions are made.","현금흐름","현금흐름은/는 최종 결정을 내리기 전에 신중한 고려가 필요합니다.","キャッシュフロー","キャッシュフローは最終決定を下す前に慎重な検討が必要です。","现金流","现金流在做出最终决定之前需要仔细考虑。"
"caucus","A detailed analysis of the caucus was included in the quarterly report.","간부 회의","간부 회의에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","幹部会議","幹部会議の詳細な分析が四半期報告書に含まれていました。","核心会议","季度报告中包含了对核心会议的详细分析。"
"centralize","Management plans to centralize the current operations to improve overall efficiency.","중앐집중화하다","경영진은 전반적인 효율성을 개선하기 위해 현재 운영을 중앐집중화하다 계획입니다.","集中化する","経営陣は全体的な効率を改善するために現在の業務を集中化する計画です。","集中化","管理层计划集中化以提高整体运营效率。"
"circumvent","The department needs to circumvent to meet the upcoming project deadline.","우회하다","부서는 다가오는 프로젝트 마감일을 맞추기 위해 우회하다야 합니다.","回避する","部門は今後のプロジェクト期限に間に合うよう回避する必要があります。","规避","部门需要规避以满足即将到来的项目截止日期。"
"clause","The clause was carefully reviewed by the senior management team.","조항","조항은/는 고위 경영진에 의해 신중히 검토되었습니다.","条項","条項は上級管理チームによって慎重に検討されました。","条款","条款经过高级管理团队的仔细审查。"
"clerical","The manager described the situation as particularly clerical for the department.","사무적인","관리자는 상황이 부서에 특히 사무적인다고 설명했습니다.","事務的な","マネージャーは状況が部門にとって特に事務的なであると説明しました。","文书的","经理描述该情况对部门来说特别文书的。"
"coalition","Management addressed concerns regarding the coalition at the annual conference.","연합","경영진은 연례 회의에서 연합에 관한 우려를 다루었습니다.","連合","経営陣は年次会議で連合に関する懸念に対処しました。","联合","管理层在年度会议上讨论了有关联合的问题。"
"coerce","Management plans to coerce the current operations to improve overall efficiency.","강요하다","경영진은 전반적인 효율성을 개선하기 위해 현재 운영을 강요하다 계획입니다.","強制する","経営陣は全体的な効率を改善するために現在の業務を強制する計画です。","强迫","管理层计划强迫以提高整体运营效率。"
"collaborate","It is essential to collaborate in order to maintain our competitive advantage.","협력하다","경쟁 우위를 유지하기 위해 협력하다는 것이 필수적입니다.","協力する","競争優位を維持するために協力することが不可欠です。","合作","为了保持竞争优势，合作是至关重要的。"
"collateral","A detailed analysis of the collateral was included in the quarterly report.","담보","담보에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","担保","担保の詳細な分析が四半期報告書に含まれていました。","抵押品","季度报告中包含了对抵押品的详细分析。"
"commemorate","Management plans to commemorate the current operations to improve overall efficiency.","기념하다","경영진은 전반적인 효율성을 개선하기 위해 현재 운영을 기념하다 계획입니다.","記念する","経営陣は全体的な効率を改善するために現在の業務を記念する計画です。","纪念","管理层计划纪念以提高整体运营效率。"
"commence","The team was instructed to commence following the recent policy update.","개시하다","팀은 최근 정책 업데이트에 따라 개시하다도록 지시받았습니다.","開始する","チームは最近の方針変更に従い開始するよう指示されました。","开始","团队被指示根据最近的政策更新开始。"
"commission","Experts believe the commission will significantly impact the industry going forward.","수수료","전문가들은 수수료이/가 향후 산업에 상당한 영향을 미칠 것으로 보고 있습니다.","手数料","専門家は手数料が今後業界に大きな影響を与えると考えています。","佣金","专家认为佣金将对行业未来产生重大影响。"
"commodity","The company's commodity has been a topic of discussion at recent board meetings.","상품","회사의 상품이/가 최근 이사회에서 논의 주제가 되었습니다.","商品","会社の商品は最近の取締役会で議論のトピックとなっています。","商品","公司的商品已成为近期董事会会议的讨论话题。"
"communique","The communique plays a critical role in the company's long-term strategic planning.","공보","공보은/는 회사의 장기 전략 계획에서 중요한 역할을 합니다.","公報","公報は会社の長期戦略計画において重要な役割を果たしています。","公报","公报在公司的长期战略规划中起着关键作用。"
"compelling","The CEO announced plans to compelling across all regional office locations.","설득력 있는","CEO는 모든 지역 사무소에 걸쳐 설득력 있는 계획을 발표했습니다.","説得力のある","CEOはすべての地域オフィスにわたって説得力のある計画を発表しました。","令人信服的","首席执行官宣布了在所有区域办事处令人信服的的计划。"
"compensate","It is essential to compensate in order to maintain our competitive advantage.","보상하다","경쟁 우위를 유지하기 위해 보상하다는 것이 필수적입니다.","補償する","競争優位を維持するために補償することが不可欠です。","补偿","为了保持竞争优势，补偿是至关重要的。"
"competence","The competence plays a critical role in the company's long-term strategic planning.","역량","역량은/는 회사의 장기 전략 계획에서 중요한 역할을 합니다.","能力","能力は会社の長期戦略計画において重要な役割を果たしています。","能力","能力在公司的长期战略规划中起着关键作用。"
"compile","The board voted to compile as part of the new corporate strategy.","편집하다","이사회는 새로운 기업 전략의 일환으로 편집하다기로 투표했습니다.","編集する","取締役会は新しい企業戦略の一環として編集することを決議しました。","编纂","董事会投票编纂作为新企业战略的一部分。"
"complement","The committee recommended that the company complement to reduce operational risks.","보완하다","위원회는 운영 위험을 줄이기 위해 회사가 보완하다도록 권고했습니다.","補完する","委員会は運営リスクを削減するために会社が補完することを推奨しました。","补充","委员会建议公司补充以降低运营风险。"
"compliance","The compliance plays a critical role in the company's long-term strategic planning.","준수","준수은/는 회사의 장기 전략 계획에서 중요한 역할을 합니다.","コンプライアンス","コンプライアンスは会社の長期戦略計画において重要な役割を果たしています。","合规","合规在公司的长期战略规划中起着关键作用。"
"component","Experts believe the component will significantly impact the industry going forward.","구성요소","전문가들은 구성요소이/가 향후 산업에 상당한 영향을 미칠 것으로 보고 있습니다.","構成要素","専門家は構成要素が今後業界に大きな影響を与えると考えています。","组成部分","专家认为组成部分将对行业未来产生重大影响。"
"compound","The company's compound has been a topic of discussion at recent board meetings.","복합의","회사의 복합의이/가 최근 이사회에서 논의 주제가 되었습니다.","複合の","会社の複合のは最近の取締役会で議論のトピックとなっています。","复合的","公司的复合的已成为近期董事会会议的讨论话题。"
"comprehensive","The report highlighted several comprehensive factors affecting the quarterly results.","포괄적인","보고서는 분기 실적에 영향을 미치는 여러 포괄적인 요소를 강조했습니다.","包括的な","報告書は四半期の業績に影響を与えるいくつかの包括的な要因を強調しました。","综合的","报告强调了影响季度业绩的几个综合的因素。"
"compromise","Experts believe the compromise will significantly impact the industry going forward.","타협","전문가들은 타협이/가 향후 산업에 상당한 영향을 미칠 것으로 보고 있습니다.","妥協","専門家は妥協が今後業界に大きな影響を与えると考えています。","妥协","专家认为妥协将对行业未来产生重大影响。"
"compulsory","A compulsory analysis of the data revealed unexpected trends in the market.","의무적인","데이터에 대한 의무적인 분석은 시장에서 예상치 못한 추세를 보여주었습니다.","義務的な","データの義務的な分析により、市場の予期しないトレンドが明らかになりました。","强制的","对数据的强制的分析揭示了市场中意想不到的趋势。"
"concede","The team was instructed to concede following the recent policy update.","인정하다","팀은 최근 정책 업데이트에 따라 인정하다도록 지시받았습니다.","認める","チームは最近の方針変更に従い認めるよう指示されました。","承认","团队被指示根据最近的政策更新承认。"
"conceive","The CEO announced plans to conceive across all regional office locations.","구상하다","CEO는 모든 지역 사무소에 걸쳐 구상하다 계획을 발표했습니다.","構想する","CEOはすべての地域オフィスにわたって構想する計画を発表しました。","构想","首席执行官宣布了在所有区域办事处构想的计划。"
"concession","The concession plays a critical role in the company's long-term strategic planning.","양보","양보은/는 회사의 장기 전략 계획에서 중요한 역할을 합니다.","譲歩","譲歩は会社の長期戦略計画において重要な役割を果たしています。","让步","让步在公司的长期战略规划中起着关键作用。"
"concise","The concise nature of the proposal raised concerns among board members.","간결한","제안의 간결한 성격이 이사회 구성원들 사이에서 우려를 제기했습니다.","簡潔な","提案の簡潔な性質が取締役会メンバーの間で懸念を引き起こしました。","简洁的","提案的简洁的性质引起了董事会成员的关切。"
"concurrent","The concurrent was carefully reviewed by the senior management team.","동시의","동시의은/는 고위 경영진에 의해 신중히 검토되었습니다.","同時の","同時のは上級管理チームによって慎重に検討されました。","并发的","并发的经过高级管理团队的仔细审查。"
"condemn","The team was instructed to condemn following the recent policy update.","비난하다","팀은 최근 정책 업데이트에 따라 비난하다도록 지시받았습니다.","非難する","チームは最近の方針変更に従い非難するよう指示されました。","谴责","团队被指示根据最近的政策更新谴责。"
"condone","The committee recommended that the company condone to reduce operational risks.","용납하다","위원회는 운영 위험을 줄이기 위해 회사가 용납하다도록 권고했습니다.","容認する","委員会は運営リスクを削減するために会社が容認することを推奨しました。","纵容","委员会建议公司纵容以降低运营风险。"
"confederation","A detailed analysis of the confederation was included in the quarterly report.","연합","연합에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","連盟","連盟の詳細な分析が四半期報告書に含まれていました。","联盟","季度报告中包含了对联盟的详细分析。"
"confidential","The confidential was carefully reviewed by the senior management team.","기밀의","기밀의은/는 고위 경영진에 의해 신중히 검토되었습니다.","機密の","機密のは上級管理チームによって慎重に検討されました。","机密的","机密的经过高级管理团队的仔细审查。"
"confiscate","The CEO announced plans to confiscate across all regional office locations.","몰수하다","CEO는 모든 지역 사무소에 걸쳐 몰수하다 계획을 발표했습니다.","没収する","CEOはすべての地域オフィスにわたって没収する計画を発表しました。","没收","首席执行官宣布了在所有区域办事处没收的计划。"
"confront","The committee recommended that the company confront to reduce operational risks.","직면하다","위원회는 운영 위험을 줄이기 위해 회사가 직면하다도록 권고했습니다.","直面する","委員会は運営リスクを削減するために会社が直面することを推奨しました。","面对","委员会建议公司面对以降低运营风险。"
"congregate","The committee recommended that the company congregate to reduce operational risks.","모이다","위원회는 운영 위험을 줄이기 위해 회사가 모이다도록 권고했습니다.","集まる","委員会は運営リスクを削減するために会社が集まることを推奨しました。","聚集","委员会建议公司聚集以降低运营风险。"
"conjecture","The conjecture plays a critical role in the company's long-term strategic planning.","추측","추측은/는 회사의 장기 전략 계획에서 중요한 역할을 합니다.","推測","推測は会社の長期戦略計画において重要な役割を果たしています。","推测","推测在公司的长期战略规划中起着关键作用。"
"consecutive","A consecutive perspective is needed to evaluate the long-term business impact.","연속적인","장기적 사업 영향을 평가하려면 연속적인 관점이 필요합니다.","連続的な","長期的なビジネスへの影響を評価するには連続的な視点が必要です。","连续的","评估长期商业影响需要连续的的视角。"
"consensus","The new consensus will be implemented across all departments starting next month.","합의","새로운 합의이/가 다음 달부터 모든 부서에 시행될 것입니다.","合意","新しい合意は来月からすべての部門で実施されます。","共识","新的共识将从下月起在所有部门实施。"
"consortium","Experts believe the consortium will significantly impact the industry going forward.","컨소시엄","전문가들은 컨소시엄이/가 향후 산업에 상당한 영향을 미칠 것으로 보고 있습니다.","コンソーシアム","専門家はコンソーシアムが今後業界に大きな影響を与えると考えています。","联合体","专家认为联合体将对行业未来产生重大影响。"
"constituent","A detailed analysis of the constituent was included in the quarterly report.","구성요소","구성요소에 대한 상세한 분석이 분기 보고서에 포함되었습니다.","構成要素","構成要素の詳細な分析が四半期報告書に含まれていました。","组成部分","季度报告中包含了对组成部分的详细分析。"
"constraint","Management addressed concerns regarding the constraint at the annual conference.","제약","경영진은 연례 회의에서 제약에 관한 우려를 다루었습니다.","制約","経営陣は年次会議で制約に関する懸念に対処しました。","约束","管理层在年度会议上讨论了有关约束的问题。"
"consul","A thorough review of the consul revealed several areas for improvement.","영사","영사에 대한 철저한 검토에서 여러 개선 영역이 밝혀졌습니다.","領事","領事の徹底的なレビューにより、いくつかの改善点が明らかになりました。","领事","对领事的全面审查揭示了几个需要改进的领域。"
"contemplate","Stakeholders expect the organization to contemplate within the next fiscal year.","숙고하다","이해관계자들은 조직이 다음 회계연도 내에 숙고하다기를 기대합니다.","熟考する","利害関係者は組織が次の会計年度内に熟考することを期待しています。","沉思","利益相关者期望组织在下一财政年度内沉思。"
"contend","It is essential to contend in order to maintain our competitive advantage.","주장하다","경쟁 우위를 유지하기 위해 주장하다는 것이 필수적입니다.","主張する","競争優位を維持するために主張することが不可欠です。","争论","为了保持竞争优势，争论是至关重要的。"
